model,dataset,clf,color_space,n_colors,test_loss,test_acc
simple_cifar10_gray8.h5,cifar10,cnn,gray,8,0.9350456035614013,0.6825
simple_cifar10_gray8.h5,cifar10,lr,gray,8,-,0.7338
simple_cifar10_rgb.h5,cifar10,cnn,rgb,256,0.714450405216217,0.761
simple_cifar10_rgb.h5,cifar10,lr,rgb,256,-,0.7987
simple_cifar10_rgb.h5,cifar10,cnn,gray,256,0.9332916328430175,0.6835
simple_cifar10_rgb.h5,cifar10,lr,gray,256,-,0.7354
simple_cifar10_rgb.h5,cifar10,cnn,gray,128,0.9356726066589356,0.6812
simple_cifar10_rgb.h5,cifar10,lr,gray,128,-,0.7355
simple_cifar10_rgb.h5,cifar10,cnn,gray,64,0.9472277046203613,0.6758
simple_cifar10_rgb.h5,cifar10,lr,gray,64,-,0.7328
simple_cifar10_rgb.h5,cifar10,cnn,gray,32,1.002333169364929,0.6599
simple_cifar10_rgb.h5,cifar10,lr,gray,32,-,0.7252
simple_cifar10_rgb.h5,cifar10,cnn,gray,16,1.1786470663070678,0.601
simple_cifar10_rgb.h5,cifar10,lr,gray,16,-,0.7016
simple_cifar10_rgb.h5,cifar10,cnn,gray,8,1.3705973779678344,0.5335
simple_cifar10_rgb.h5,cifar10,lr,gray,8,-,0.6497
